time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63
1.3048,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-28.0,-20.0,-29.0,-20.0,-29.0,-19.0,-27.0,-18.0,-24.0,-15.0,-20.0,-13.0,-16.0,-9.0,-10.0,-7.0,-4.0,-4.0,3.0,-3.0,11.0,-1.0,17.0,1.0,23.0,2.0,29.0,3.0,33.0,2.0,36.0,3.0,38.0,2.0,39.0,1.0,37.0,1.0,34.0,0.0,30.0,0.0,24.0,1.0,18.0,2.0,10.0,3.0,3.0,5.0,-5.0
1.3179,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-7.0,21.0,-6.0,16.0,-5.0,12.0,-5.0,5.0,-5.0,-1.0,-4.0,-7.0,-6.0,-13.0,-6.0,-19.0,-8.0,-23.0,-8.0,-27.0,-10.0,-30.0,-11.0,-32.0,-12.0,-33.0,-12.0,-32.0,-13.0,-29.0,-12.0,-27.0,-12.0,-21.0,-9.0,-17.0,-7.0,-12.0,-4.0,-6.0,0.0,-1.0,4.0,5.0,8.0,9.0,12.0,13.0,16.0,17.0,21.0
1.331,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-16.0,4.0,-22.0,5.0,-26.0,6.0,-29.0,6.0,-30.0,7.0,-31.0,7.0,-31.0,7.0,-30.0,6.0,-27.0,5.0,-23.0,3.0,-18.0,1.0,-13.0,-2.0,-7.0,-5.0,-1.0,-9.0,4.0,-12.0,9.0,-16.0,14.0,-19.0,17.0,-22.0,21.0,-25.0,23.0,-26.0,24.0,-27.0,24.0,-26.0,22.0,-25.0,20.0,-22.0,18.0,-18.0,15.0
1.345,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-19.0,7.0,-20.0,7.0,-19.0,7.0,-19.0,6.0,-17.0,5.0,-15.0,3.0,-12.0,2.0,-9.0,-1.0,-6.0,-3.0,-2.0,-6.0,1.0,-9.0,4.0,-12.0,8.0,-14.0,10.0,-17.0,12.0,-18.0,12.0,-20.0,13.0,-20.0,13.0,-20.0,13.0,-18.0,12.0,-16.0,10.0,-14.0,9.0,-10.0,7.0,-6.0,5.0,-2.0,3.0,2.0,1.0
1.3602,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-23.0,1.0,-20.0,0.0,-16.0,-1.0,-11.0,-3.0,-6.0,-5.0,-1.0,-7.0,4.0,-9.0,9.0,-12.0,13.0,-14.0,17.0,-16.0,20.0,-18.0,21.0,-20.0,22.0,-20.0,23.0,-20.0,22.0,-19.0,20.0,-17.0,17.0,-14.0,14.0,-10.0,11.0,-6.0,7.0,-1.0,4.0,5.0,0.0,10.0,-3.0,15.0,-5.0,20.0,-6.0,24.0,-8.0
1.373,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,23.0,5.0,23.0,5.0,22.0,4.0,20.0,4.0,17.0,3.0,12.0,2.0,9.0,0.0,4.0,-2.0,-1.0,-5.0,-4.0,-7.0,-9.0,-10.0,-13.0,-13.0,-16.0,-15.0,-18.0,-18.0,-19.0,-19.0,-20.0,-20.0,-20.0,-21.0,-19.0,-20.0,-18.0,-18.0,-15.0,-17.0,-13.0,-13.0,-10.0,-9.0,-7.0,-5.0,-4.0,-1.0,-1.0,5.0
1.3865,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,-3.0,1.0,-9.0,-1.0,-15.0,-4.0,-20.0,-5.0,-26.0,-6.0,-31.0,-7.0,-34.0,-6.0,-36.0,-6.0,-37.0,-5.0,-36.0,-4.0,-34.0,-4.0,-30.0,-4.0,-26.0,-4.0,-20.0,-4.0,-14.0,-4.0,-6.0,-5.0,1.0,-7.0,8.0,-9.0,15.0,-11.0,22.0,-13.0,27.0,-15.0,31.0,-18.0,34.0,-18.0,35.0,-20.0,34.0
1.3992,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,-2.0,-4.0,-7.0,-3.0,-12.0,-2.0,-17.0,0.0,-21.0,0.0,-25.0,0.0,-28.0,0.0,-30.0,0.0,-30.0,-1.0,-29.0,-1.0,-28.0,-2.0,-25.0,-2.0,-22.0,-1.0,-17.0,-1.0,-11.0,0.0,-6.0,2.0,0.0,3.0,6.0,6.0,10.0,8.0,15.0,11.0,19.0,13.0,22.0,15.0,24.0,17.0,26.0,18.0,24.0,20.0
1.413,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,21.0,-17.0,18.0,-12.0,14.0,-8.0,10.0,-3.0,7.0,3.0,3.0,10.0,0.0,16.0,-3.0,22.0,-6.0,27.0,-6.0,31.0,-7.0,34.0,-8.0,37.0,-8.0,37.0,-7.0,36.0,-7.0,33.0,-7.0,29.0,-6.0,24.0,-5.0,18.0,-4.0,10.0,-4.0,3.0,-4.0,-5.0,-5.0,-13.0,-7.0,-19.0,-9.0,-25.0,-11.0,-30.0,-13.0
1.4269,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,3.0,-11.0,4.0,-11.0,4.0,-11.0,4.0,-11.0,4.0,-11.0,5.0,-10.0,5.0,-10.0,5.0,-10.0,5.0,-10.0,5.0,-10.0,5.0,-10.0,6.0,-10.0,6.0,-9.0,6.0,-8.0,7.0,-9.0,7.0,-8.0,6.0,-8.0,8.0,-8.0,8.0,-8.0,8.0,-8.0,8.0,-8.0,9.0,-7.0,9.0,-7.0,9.0,-7.0,9.0,-7.0,10.0
1.4397,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,23.0,7.0,23.0,7.0,21.0,7.0,20.0,6.0,17.0,5.0,13.0,3.0,9.0,1.0,5.0,-1.0,1.0,-4.0,-3.0,-7.0,-7.0,-10.0,-11.0,-13.0,-14.0,-16.0,-16.0,-18.0,-18.0,-20.0,-18.0,-22.0,-18.0,-22.0,-18.0,-22.0,-17.0,-21.0,-14.0,-18.0,-12.0,-15.0,-10.0,-11.0,-8.0,-7.0,-5.0,-2.0,-2.0,3.0
1.4532,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,2.0,10.0,2.0,10.0,2.0,11.0,2.0,10.0,2.0,10.0,3.0,10.0,3.0,9.0,4.0,10.0,3.0,10.0,4.0,9.0,4.0,9.0,4.0,10.0,4.0,10.0,5.0,10.0,6.0,9.0,6.0,10.0,5.0,9.0,6.0,10.0
1.4683,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,-20.0,0.0,-16.0,1.0,-12.0,1.0,-6.0,2.0,-1.0,3.0,4.0,5.0,9.0,7.0,14.0,9.0,18.0,11.0,21.0,13.0,23.0,15.0,24.0,16.0,25.0,16.0,24.0,16.0,22.0,15.0,20.0,14.0,17.0,12.0,13.0,9.0,9.0,5.0,5.0,1.0,1.0,-4.0,-3.0,-9.0,-6.0,-14.0,-8.0,-18.0,-10.0,-23.0
1.4831,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-6.0,-5.0,-1.0,-5.0,4.0,-6.0,9.0,-7.0,15.0,-9.0,19.0,-10.0,22.0,-11.0,24.0,-12.0,26.0,-13.0,26.0,-14.0,25.0,-14.0,23.0,-12.0,21.0,-10.0,18.0,-8.0,14.0,-4.0,10.0,-1.0,5.0,4.0,1.0,8.0,-4.0,12.0,-6.0,17.0,-10.0,20.0,-12.0,24.0,-14.0,26.0,-14.0,28.0,-15.0,28.0,-13.0
1.4963,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,18.0,15.0,15.0,12.0,10.0,7.0,7.0,2.0,3.0,-4.0,-1.0,-10.0,-3.0,-17.0,-6.0,-23.0,-7.0,-28.0,-8.0,-32.0,-8.0,-35.0,-8.0,-37.0,-8.0,-38.0,-7.0,-37.0,-7.0,-35.0,-6.0,-30.0,-4.0,-26.0,-4.0,-19.0,-4.0,-12.0,-4.0,-4.0,-5.0,4.0,-7.0,12.0,-9.0,18.0,-11.0,24.0,-13.0,29.0
1.511,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-1.0,12.0,-1.0,12.0,-1.0,12.0,-2.0,12.0,-1.0,12.0,-2.0,11.0,-2.0,11.0,-2.0,11.0,-2.0,11.0,-3.0,11.0,-3.0,11.0,-3.0,11.0,-3.0,11.0,-4.0,10.0,-4.0,11.0,-4.0,11.0,-5.0,10.0,-5.0,10.0,-5.0,11.0,-6.0,10.0,-5.0,10.0,-6.0,10.0,-7.0,11.0,-7.0,10.0,-7.0,10.0,-8.0
1.5265,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-4.0,-5.0,1.0,-3.0,6.0,-2.0,11.0,-1.0,16.0,-1.0,21.0,-1.0,24.0,-2.0,27.0,-2.0,29.0,-3.0,29.0,-3.0,28.0,-4.0,26.0,-3.0,23.0,-2.0,19.0,-1.0,15.0,0.0,9.0,2.0,4.0,4.0,-2.0,7.0,-7.0,10.0,-12.0,13.0,-16.0,16.0,-19.0,18.0,-22.0,20.0,-24.0,21.0,-24.0,21.0,-23.0
1.5407,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-24.0,1.0,-25.0,1.0,-25.0,1.0,-23.0,0.0,-22.0,0.0,-18.0,0.0,-15.0,-1.0,-10.0,-3.0,-6.0,-4.0,-1.0,-6.0,4.0,-8.0,9.0,-10.0,13.0,-12.0,17.0,-13.0,19.0,-15.0,21.0,-16.0,22.0,-17.0,22.0,-16.0,22.0,-15.0,20.0,-14.0,17.0,-12.0,15.0,-8.0,12.0,-5.0,8.0,-1.0,4.0,3.0,0.0
1.5549,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-22.0,21.0,-23.0,20.0,-23.0,20.0,-21.0,17.0,-19.0,14.0,-16.0,11.0,-13.0,6.0,-10.0,1.0,-7.0,-5.0,-3.0,-10.0,-1.0,-16.0,2.0,-21.0,5.0,-26.0,7.0,-30.0,8.0,-32.0,7.0,-34.0,8.0,-34.0,7.0,-33.0,7.0,-31.0,6.0,-27.0,5.0,-22.0,5.0,-16.0,4.0,-10.0,4.0,-3.0,3.0,4.0,3.0
1.568,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,15.0,-15.0,13.0,-11.0,10.0,-7.0,8.0,-3.0,5.0,2.0,2.0,7.0,1.0,12.0,-1.0,17.0,-3.0,22.0,-4.0,25.0,-4.0,28.0,-4.0,29.0,-3.0,30.0,-4.0,28.0,-3.0,27.0,-3.0,23.0,-2.0,20.0,-2.0,14.0,-2.0,9.0,-3.0,3.0,-3.0,-3.0,-4.0,-10.0,-6.0,-15.0,-8.0,-19.0,-10.0,-23.0,-12.0
1.5833,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,-2.0,3.0,3.0,5.0,7.0,7.0,11.0,9.0,15.0,11.0,17.0,13.0,19.0,15.0,20.0,16.0,19.0,17.0,18.0,17.0,17.0,16.0,15.0,14.0,13.0,12.0,10.0,8.0,7.0,4.0,4.0,0.0,1.0,-5.0,-2.0,-9.0,-4.0,-14.0,-5.0,-19.0,-6.0,-22.0,-7.0,-25.0,-7.0,-27.0,-7.0,-29.0,-5.0,-28.0
1.5963,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,-4.0,0.0,-10.0,-3.0,-15.0,-6.0,-21.0,-8.0,-26.0,-9.0,-30.0,-10.0,-34.0,-10.0,-36.0,-9.0,-36.0,-9.0,-36.0,-8.0,-33.0,-7.0,-30.0,-6.0,-25.0,-6.0,-19.0,-5.0,-12.0,-5.0,-4.0,-6.0,3.0,-6.0,11.0,-7.0,17.0,-9.0,24.0,-10.0,29.0,-12.0,33.0,-14.0,36.0,-15.0,37.0,-16.0,36.0
1.6116,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-12.0,-1.0,-12.0,-1.0,-12.0,-1.0,-12.0,-2.0,-12.0,-2.0,-12.0,-2.0,-12.0,-3.0,-11.0,-3.0,-11.0,-2.0,-11.0,-3.0,-12.0,-3.0,-11.0,-3.0,-11.0,-3.0,-11.0,-4.0,-11.0,-4.0,-11.0,-4.0,-11.0,-5.0,-11.0,-5.0,-10.0,-5.0,-11.0,-6.0,-11.0,-6.0,-11.0,-7.0,-11.0,-6.0,-11.0,-7.0,-11.0,-7.0,-11.0
1.6347,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-3.0,-5.0,3.0,-1.0,9.0,2.0,15.0,4.0,21.0,5.0,26.0,5.0,31.0,6.0,34.0,6.0,36.0,6.0,36.0,4.0,34.0,3.0,32.0,3.0,28.0,3.0,23.0,3.0,17.0,3.0,10.0,4.0,2.0,5.0,-5.0,7.0,-12.0,9.0,-19.0,11.0,-26.0,14.0,-30.0,16.0,-33.0,18.0,-35.0,19.0,-36.0,20.0,-34.0
1.6432,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,3.0,-10.0,3.0,-10.0,3.0,-10.0,4.0,-10.0,4.0,-10.0,4.0,-10.0,4.0,-9.0,4.0,-9.0,4.0,-9.0,4.0,-9.0,5.0,-9.0,5.0,-9.0,5.0,-9.0,5.0,-8.0,5.0,-8.0,6.0,-8.0,6.0,-8.0,6.0,-7.0,7.0,-8.0,7.0,-8.0,7.0,-7.0,7.0,-7.0,8.0,-7.0,8.0,-7.0,8.0,-7.0,8.0
1.6559,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,16.0,-4.0,21.0,-5.0,25.0,-5.0,28.0,-6.0,30.0,-6.0,31.0,-6.0,31.0,-5.0,29.0,-5.0,26.0,-4.0,22.0,-3.0,16.0,-1.0,11.0,2.0,5.0,5.0,-1.0,8.0,-7.0,11.0,-12.0,14.0,-17.0,17.0,-20.0,20.0,-24.0,21.0,-26.0,23.0,-27.0,24.0,-26.0,23.0,-25.0,21.0,-22.0,19.0,-19.0,15.0,-17.0
1.6701,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,6.0,-8.0,6.0,-7.0,7.0,-8.0,7.0,-8.0,7.0,-8.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-6.0,8.0,-6.0,8.0,-5.0,8.0,-5.0,8.0,-5.0,9.0,-5.0,9.0,-5.0,9.0,-4.0,9.0,-4.0,9.0,-4.0,10.0,-4.0,9.0,-4.0,10.0,-4.0,10.0
1.6831,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,5.0,16.0,4.0,13.0,4.0,8.0,3.0,4.0,3.0,-2.0,3.0,-7.0,4.0,-11.0,4.0,-16.0,6.0,-19.0,6.0,-22.0,8.0,-25.0,9.0,-25.0,8.0,-26.0,9.0,-25.0,9.0,-23.0,8.0,-21.0,6.0,-17.0,4.0,-13.0,2.0,-9.0,-1.0,-4.0,-5.0,0.0,-9.0,5.0,-12.0,8.0,-16.0,11.0,-19.0,13.0
1.696,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,4.0,10.0,4.0,10.0,4.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,1.0,10.0,1.0,10.0,1.0,11.0,0.0,10.0,0.0,11.0,0.0,11.0,0.0,11.0,-1.0,11.0,-1.0,11.0,-1.0,11.0,-2.0,11.0,-2.0,12.0,-2.0
1.712,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-18.0,-10.0,-15.0,-8.0,-12.0,-7.0,-8.0,-5.0,-4.0,-4.0,1.0,-3.0,6.0,-2.0,11.0,-2.0,15.0,-1.0,19.0,-2.0,22.0,-2.0,24.0,-3.0,26.0,-3.0,27.0,-3.0,26.0,-4.0,24.0,-3.0,22.0,-3.0,18.0,-2.0,14.0,-1.0,9.0,1.0,4.0,3.0,-1.0,6.0,-6.0,8.0,-10.0,11.0,-14.0,13.0,-17.0
1.7248,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,-2.0,-5.0,-7.0,-3.0,-12.0,-2.0,-17.0,-2.0,-22.0,-1.0,-25.0,-1.0,-28.0,-2.0,-29.0,-2.0,-29.0,-2.0,-29.0,-2.0,-27.0,-3.0,-25.0,-2.0,-22.0,-2.0,-16.0,-1.0,-11.0,0.0,-6.0,1.0,0.0,3.0,5.0,5.0,10.0,9.0,14.0,12.0,18.0,15.0,20.0,17.0,24.0,18.0,25.0,20.0,22.0,20.0
1.7387,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-12.0,-23.0,-11.0,-18.0,-8.0,-14.0,-5.0,-8.0,-1.0,-3.0,4.0,2.0,8.0,7.0,13.0,11.0,18.0,14.0,23.0,16.0,26.0,17.0,30.0,18.0,32.0,19.0,33.0,18.0,32.0,17.0,30.0,15.0,27.0,12.0,23.0,10.0,17.0,7.0,10.0,5.0,4.0,3.0,-4.0,1.0,-12.0,0.0,-19.0,0.0,-25.0,0.0,-31.0
1.7519,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-12.0,5.0,-15.0,7.0,-18.0,7.0,-19.0,8.0,-21.0,8.0,-21.0,8.0,-21.0,8.0,-20.0,7.0,-18.0,6.0,-16.0,4.0,-12.0,3.0,-8.0,-1.0,-5.0,-4.0,-2.0,-7.0,2.0,-10.0,5.0,-13.0,7.0,-16.0,10.0,-18.0,11.0,-20.0,13.0,-22.0,13.0,-22.0,13.0,-22.0,12.0,-20.0,11.0,-18.0,10.0,-15.0,8.0
1.7671,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-7.0,-6.0,-7.0,-6.0,-7.0,-6.0,-8.0,-6.0,-8.0,-6.0,-8.0,-6.0,-8.0,-6.0,-8.0,-5.0,-8.0,-6.0,-8.0,-5.0,-8.0,-5.0,-8.0,-5.0,-8.0,-4.0,-9.0,-4.0,-9.0,-4.0,-8.0,-4.0,-9.0,-4.0,-9.0,-3.0,-9.0,-3.0,-9.0,-3.0,-9.0,-3.0,-10.0,-3.0,-9.0,-2.0,-10.0,-2.0,-10.0,-2.0
1.782,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-4.0,7.0,-4.0,8.0,-4.0,7.0,-4.0,8.0,-4.0,8.0,-3.0,8.0,-3.0,8.0,-3.0,8.0,-3.0,8.0,-3.0,8.0,-2.0,8.0,-2.0,9.0,-2.0,9.0,-2.0,9.0,-2.0,9.0,-1.0,9.0
1.7955,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,20.0,6.0,20.0,6.0,19.0,6.0,18.0,5.0,15.0,4.0,12.0,3.0,8.0,1.0,4.0,-1.0,1.0,-3.0,-3.0,-6.0,-6.0,-9.0,-10.0,-12.0,-12.0,-14.0,-14.0,-16.0,-15.0,-18.0,-16.0,-19.0,-17.0,-19.0,-16.0,-19.0,-16.0,-18.0,-12.0,-16.0,-11.0,-13.0,-9.0,-11.0,-5.0,-6.0,-5.0,-2.0,-2.0,2.0
1.8092,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,1.0,10.0,1.0,11.0,1.0,10.0,2.0,10.0,2.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,4.0,10.0,4.0,10.0,5.0,10.0,4.0,10.0,5.0,10.0,5.0,10.0,5.0,10.0,6.0,10.0,6.0,10.0
1.8286,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,6.0,-8.0,6.0,-8.0,6.0,-8.0,6.0,-8.0,6.0,-8.0,7.0,-8.0,7.0,-8.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-7.0,7.0,-6.0,7.0,-6.0,8.0,-6.0,7.0,-6.0,8.0,-5.0,8.0,-6.0,8.0,-5.0,9.0,-5.0,9.0,-5.0,9.0,-5.0,9.0,-5.0,9.0,-5.0,9.0,-4.0,10.0
1.8386,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,10.0,-18.0,9.0,-13.0,7.0,-9.0,6.0,-4.0,5.0,2.0,3.0,6.0,2.0,12.0,2.0,17.0,1.0,21.0,2.0,25.0,2.0,28.0,3.0,29.0,3.0,30.0,3.0,29.0,4.0,27.0,3.0,24.0,3.0,19.0,2.0,14.0,2.0,9.0,0.0,4.0,-3.0,-3.0,-5.0,-8.0,-8.0,-13.0,-11.0,-17.0,-14.0,-20.0,-17.0
1.8557,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,-1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,1.0,10.0,1.0,11.0,1.0,10.0,2.0,11.0,2.0,10.0,2.0,10.0,3.0,10.0,3.0,11.0,4.0,10.0,4.0,10.0,4.0,10.0,4.0,10.0,5.0,10.0,6.0,10.0,5.0,10.0,5.0,10.0,6.0,10.0
1.8662,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,-3.0,2.0,-11.0,0.0,-18.0,-1.0,-25.0,-2.0,-31.0,-2.0,-37.0,-2.0,-41.0,-2.0,-43.0,-2.0,-44.0,-1.0,-42.0,0.0,-39.0,-1.0,-35.0,-1.0,-29.0,-1.0,-23.0,-3.0,-15.0,-5.0,-5.0,-8.0,2.0,-10.0,10.0,-14.0,18.0,-18.0,25.0,-21.0,29.0,-24.0,34.0,-27.0,36.0,-28.0,37.0,-29.0,35.0
1.8802,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,5.0,10.0,7.0,9.0,6.0,10.0,6.0,9.0,7.0,10.0,8.0,11.0,8.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,10.0,7.0,10.0,7.0,10.0,7.0,10.0,6.0,11.0,6.0,11.0,6.0,11.0,6.0,11.0,5.0,12.0,5.0
1.8923,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,7.0,15.0,5.0,12.0,5.0,8.0,4.0,3.0,3.0,-2.0,3.0,-7.0,2.0,-12.0,3.0,-16.0,4.0,-20.0,4.0,-23.0,5.0,-25.0,6.0,-26.0,6.0,-27.0,6.0,-26.0,7.0,-25.0,6.0,-21.0,5.0,-17.0,2.0,-12.0,1.0,-10.0,-2.0,-5.0,-5.0,2.0,-8.0,4.0,-11.0,10.0,-15.0,12.0,-17.0,15.0
1.9056,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-14.0,17.0,-14.0,16.0,-13.0,16.0,-13.0,14.0,-12.0,12.0,-10.0,9.0,-8.0,5.0,-6.0,1.0,-5.0,-3.0,-3.0,-7.0,-2.0,-12.0,0.0,-16.0,1.0,-19.0,1.0,-23.0,2.0,-24.0,2.0,-25.0,1.0,-25.0,1.0,-24.0,0.0,-22.0,0.0,-20.0,0.0,-16.0,1.0,-11.0,1.0,-7.0,1.0,-2.0,2.0,3.0,2.0
1.919,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,-4.0,30.0,-4.0,30.0,-4.0,28.0,-3.0,26.0,-3.0,22.0,-3.0,17.0,-3.0,11.0,-3.0,6.0,-4.0,-1.0,-5.0,-7.0,-7.0,-13.0,-9.0,-18.0,-10.0,-23.0,-12.0,-27.0,-14.0,-29.0,-16.0,-31.0,-16.0,-31.0,-17.0,-30.0,-17.0,-28.0,-16.0,-25.0,-15.0,-21.0,-12.0,-17.0,-9.0,-12.0,-5.0,-7.0,-1.0,-1.0,4.0
1.9329,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-10.0,8.0,-13.0,10.0,-16.0,12.0,-17.0,12.0,-19.0,13.0,-19.0,13.0,-19.0,12.0,-17.0,11.0,-16.0,10.0,-14.0,7.0,-11.0,4.0,-8.0,0.0,-5.0,-3.0,-2.0,-8.0,-1.0,-11.0,2.0,-15.0,5.0,-18.0,6.0,-21.0,7.0,-23.0,8.0,-25.0,7.0,-25.0,7.0,-24.0,6.0,-23.0,6.0,-20.0,5.0,-16.0,5.0
1.9457,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5.0,10.0,5.0,9.0,5.0,10.0,5.0,9.0,5.0,9.0,5.0,9.0,6.0,9.0,6.0,9.0,6.0,8.0,6.0,9.0,6.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,6.0,9.0,6.0,9.0,6.0,10.0,6.0
